Cust_ID,Avg_Salary_Day_6M,Current_Salary_Day,Salary_Delay_Days,Savings_6M_Avg,Current_Savings,Savings_Drop_%,Discretionary_Spend_6M_Avg,Current_Discretionary_Spend,Discretionary_Drop_%,Utility_Payment_Shift_Days,ATM_Withdrawal_Increase_%,Credit_Utilization_%,Past_EMI_Delays_6M,Historical_Stability_Index,Historical_Category,Target_Delinquency_30D
CUST_00001,3,15,12,164435,122294.02023401544,25.62774334295288,21216,21689.20943547462,-2.2304366302536702,7,27.29375787391399,18.893816472868544,4,0.09720703067036651,Low,1
CUST_00002,5,4,0,180894,181633.54025087162,-0.4088251964529622,13680,6983.237256020704,48.95294403493637,14,24.10752075775526,50.53814561348236,4,0.4171308779091316,Medium,0
CUST_00003,3,3,0,104299,91695.9123093572,12.083613160857537,16668,10320.664539483196,38.08096628579796,-1,63.22362748286686,15.165389228924193,0,0.03738730140975999,Low,0
CUST_00004,2,10,8,169763,190228.85794653613,-12.055546819116136,27720,35472.52496999984,-27.967261796536214,9,21.701456083244423,15.696657512717465,1,0.7863503474946153,High,1
CUST_00005,4,8,4,165187,94268.8713315696,42.932027743363825,42245,32062.911765676112,24.102469485912863,-2,30.374061303278125,43.350972573674014,2,0.7228874112323059,High,0
CUST_00006,3,3,0,31035,37217.69288118917,-19.9216783669701,12120,12457.406133296627,-2.7838789875959296,1,44.8121768563894,54.912453017475755,3,0.03656781827322053,Low,0
CUST_00007,4,10,6,166088,157601.11981142312,5.109869580329029,37657,46547.937010276146,-23.610316834256967,14,29.450039099136028,72.11783909278347,0,0.5872812070302119,Medium,0
CUST_00008,2,1,0,101621,114772.08707423798,-12.941308464035956,35624,32397.29315714105,9.057676967378587,12,55.84802157528941,51.35463454492297,0,0.5520630810220455,Medium,0
CUST_00009,2,8,6,43499,32704.491818614446,24.815531808514113,40137,32210.09338282179,19.749624080469914,-1,67.86164995378819,32.075483728369576,0,0.19972577420427884,Low,1
CUST_00010,1,1,0,60949,58271.47157279323,4.393063753641196,40197,30754.937588300556,23.48947038758973,6,48.63145037380963,38.21342211506442,3,0.32563300624156977,Low,1
CUST_00011,2,9,7,37058,34391.78264367156,7.194714653592849,5293,4686.918097430596,11.450631070648095,6,52.915595486563106,74.54279142595347,1,0.5010456159159162,Medium,0
CUST_00012,2,11,9,110813,75964.4535339398,31.448066983170026,31586,38024.09990154564,-20.38276420422225,11,69.35901614558375,35.90475462367541,1,0.7278012691222621,High,0
CUST_00013,1,7,6,199424,194093.03622241534,2.6731806490616297,8588,9768.480130935239,-13.74569318741545,1,-11.356433416417902,82.1615303375092,3,0.6492324514395824,Medium,1
CUST_00014,1,7,6,100299,94261.88874561472,6.019114103216662,13225,16853.61982935213,-27.437579049921588,-4,-4.809333286582394,66.04225500678469,3,0.0706374867633206,Low,1
CUST_00015,2,11,9,107609,97852.82489652101,9.066318898492684,17995,18627.631838126636,-3.5155978778918344,3,-19.860359404081187,5.356221777810756,2,0.057841387910478215,Low,0
CUST_00016,4,14,10,167216,146082.40101824008,12.638502883551764,23076,24379.08529705507,-5.646928831058544,2,-7.928953431318996,42.61451388948854,2,0.1478355947986001,Low,1
